NodeID,NodeDescription,NextNodeID,EdgeDescription,Altruism,Honesty,Fairness,Responsibility,Malice
1,Агент обнаруживает кошелек,2,Поднять кошелек и оглядеться,0.9,0.8,0.5,0.6,0.1
1,Агент обнаруживает кошелек,3,Положить кошелек в карман и уйти,0.1,0.4,0.2,0.7,0.8
2,Агент решает вернуть кошелек,4,Остановиться и помочь другу,0.7,0.9,0.6,0.9,0.2
2,Агент решает вернуть кошелек,5,Положить кошелек в потерянные вещи,0.8,0.9,0.7,0.8,0.1
3,Агент решает оставить кошелек,6,Игнорировать просьбу друга,0.2,0.3,0.4,0.5,0.9
3,Агент решает оставить кошелек,7,Продолжить идти и не вмешиваться,0.1,0.5,0.3,0.7,0.8
4,Агент решает вернуть кошелек владельцу,8,Отдать кошелек владельцу,0.9,0.8,0.7,0.9,0.1
4,Агент решает вернуть кошелек владельцу,9,Положить кошелек на место,0.7,0.9,0.6,0.8,0.2
5,Агент решает пожертвовать деньгами на благотворительность,10,Пожертвовать деньги на благотворительность,0.9,0.8,0.7,0.8,0.1
5,Агент решает пожертвовать деньгами на благотворительность,11,Отказать в пожертвовании,0.3,0.4,0.5,0.7,0.6
6,Агент решает продолжить игнорировать просьбу друга,12,Подойти к продавцу и попросить помощи,0.5,0.4,0.6,0.7,0.3
6,Агент решает продолжить игнорировать просьбу друга,13,Вернуться к своему делу,0.2,0.3,0.4,0.5,0.8
7,Агент решает оставить кошелек без внимания,14,Забыть о кошельке,0.1,0.3,0.2,0.5,0.9
7,Агент решает оставить кошелек без внимания,15,Пройти мимо,0.2,0.4,0.3,0.6,0.7
8,Агент возвращает кошелек владельцу,16,Пожать руку владельцу,0.8,0.9,0.7,0.9,0.1
9,Агент возвращает кошелек владельцу,17,Отказаться от благодарности владельца,0.4,0.6,0.5,0.7,0.2
10,Агент жертвует деньги,18,Посмотреть на отчет о пожертвованиях,0.6,0.7,0.8,0.9,0.1
11,Агент отказывается от пожертвования,19,Извиниться и уйти,0.3,0.4,0.3,0.6,0.5
12,Агент просит помощи у продавца,20,Принять помощь,0.8,0.9,0.7,0.8,0.2
13,Агент решает вернуться к своему делу,21,Сесть и продолжить работу,0.2,0.4,0.3,0.6,0.8
14,Агент забывает о кошельке,22,Пойти в магазин,0.4,0.3,0.5,0.7,0.6
15,Агент решает пройти мимо,23,Продолжить путь,0.1,0.2,0.4,0.5,0.9
16,Агент пожимает руку владельцу,24,Прощаться и уйти,0.7,0.8,0.7,0.9,0.2
17,Агент отказывается от благодарности,25,Покинуть место происшествия,0.3,0.5,0.4,0.6,0.7
18,Агент просматривает отчет о пожертвованиях,26,Пожертвовать больше,0.9,0.8,0.7,0.9,0.1
19,Агент извиняется и уходит,27,Посмотреть в окно,0.4,0.5,0.6,0.7,0.3
20,Агент принимает помощь продавца,28,Поблагодарить продавца,0.8,0.9,0.7,0.9,0.2
21,Агент продолжает работать,29,Взять перерыв,0.3,0.4,0.5,0.6,0.6
22,Агент идет в магазин,30,Покупать продукты,0.6,0.7,0.8,0.9,0.3
23,Агент продолжает путь,31,Принять предложение,0.5,0.6,0.7,0.8,0.2
24,Агент прощается и уходит,32,Пойти домой,0.4,0.5,0.6,0.7,0.4
25,Агент покидает место происшествия,33,Проверить телефон,0.6,0.7,0.7,0.8,0.3
26,Агент решает пожертвовать больше,34,Пожертвовать еще раз,0.9,0.8,0.7,0.9,0.1
27,Агент смотрит в окно,35,Выйти на улицу,0.3,0.4,0.5,0.6,0.4
28,Агент благодарит продавца,36,Продолжить покупки,0.7,0.8,0.7,0.9,0.2
29,Агент берет перерыв,37,Продолжить работать,0.5,0.6,0.6,0.7,0.3
30,Агент покупает продукты,38,Пойти домой с покупками,0.7,0.8,0.7,0.8,0.2
31,Агент принимает предложение,39,Завершить день,0.6,0.7,0.8,0.9,0.1
32,Агент идет домой,40,Отдохнуть дома,0.8,0.9,0.7,0.9,0.1
33,Агент проверяет телефон,41,Ответить на звонок,0.6,0.7,0.6,0.8,0.3
34,Агент пожертвует снова,42,Завершить процесс,0.9,0.8,0.7,0.9,0.1
35,Агент выходит на улицу,43,Прогулка в парке,0.7,0.8,0.7,0.9,0.2
36,Агент продолжает покупки,44,Перейти к кассе,0.7,0.8,0.7,0.9,0.1
37,Агент продолжает работать,45,Завершить задачу,0.8,0.9,0.7,0.9,0.2
38,Агент идет домой с покупками,46,Посмотреть на покупки,0.8,0.9,0.8,0.9,0.1
39,Агент завершает день,47,Отдохнуть в вечер,0.7,0.8,0.8,0.9,0.2
40,Агент отдыхает дома,48,Пойти на прогулку,0.7,0.8,0.7,0.9,0.1
41,Агент отвечает на звонок,49,Продолжить разговор,0.8,0.9,0.8,0.9,0.2
42,Агент завершает процесс,50,Отдохнуть,0.8,0.9,0.7,0.9,0.1
